 Who is the department chair of SCE?,Yvan Labiche,Gabriel Wainer,Donald Bailey,Glen McRae
How much does a Muffin & Coffee cost at Leo's?,1.75,1.5,2,1.35
What Proffesor worked on Java?,Donald Bailey,Tom Ray,Cheryl Schramm,Ian Marsland
Wen was SCE created?,1945,1992,1897,1918
What building number is Mackenzie?,10,3,26,18
